NA,Code_Rep,B58C1,B58C2,B58C3,B58E1,B58E2,B58E3,BC1,BC2,BC3,BE1,BE2,BE3,BKC1,BKC2,BKC3,BKE1,BKE2,BKE3,CRC1,CRC2,CRC3,CRE1,CRE2,CRE3,CRE4C1,CRE4C2,CRE4C3,CRE4E1,CRE4E2,CRE4E3,E4C1,E4C2,E4C3,E4E1,E4E2,E4E3,PIC1,PIC2,PIC3,PIE1,PIE2,PIE3,B58C3,E4C2,E4C3,PIC3,B58C2,SC3,CRE4C3,SC2,SKBC2,SKBC3,CRC2,SKBC1,BC1,BC3,BC2,CRE4C2,PIC2,E4C1,CRE4C1,CRC1,BE2,SKBE1,BE1,E4E2,SKBE2,CRE3,CRE4E3,SE2,CRE2,E4E3,PIE1,B58C1,B58E1,B58E2,B58E3,CRC3,CRE1,CRE4E1,CRE4E2,E4E1,PIC1,PIE2,PIE3,SC1,SE1,SE3,SKBE3,BE3,SC1,SC2,SC3,SE1,SE2,SE3,SKBC1,SKBC2,SKBC3,SKBE1,SKBE2,SKBE3
NA,SFW,60.99,26.08,42.48,42.93,39.57,19.69,29.2,31.47,16.55,33.98,24.73,34.87,,,,,,,16.15,23.45,23,36.42,21.22,15.05,95.66,56.45,47.58,77.57,46.77,63.99,49.02,61.51,29.94,39.13,37.15,34.88,64.07,38.47,43.8,33.86,65.35,50.75,42.48,61.51,29.94,43.8,26.08,55.5,47.58,56.47,82.63,23.99,23.45,81.5,29.2,16.55,31.47,56.45,38.47,49.02,95.66,16.15,24.73,49.09,33.98,37.15,54.25,15.05,63.99,92.31,21.22,34.88,33.86,60.99,42.93,39.57,19.69,23,36.42,77.57,46.77,39.13,64.07,65.35,50.75,60.52,48.73,61.7,54.75,34.87,60.52,56.47,55.5,48.73,92.31,61.7,81.5,82.63,23.99,49.09,54.25,54.75
NA,SDW,21.2,9.55,13.26,13.77,12.96,6.01,9.43,10.65,4.45,11.44,7.26,11.52,,,,,,,4.3,6.88,6.66,10.45,6.27,3.54,36.95,22.13,17.34,29.73,17.11,23.68,20.17,24.92,13.07,17.55,16.56,15.74,21.44,13.36,13.97,11.05,23.79,17.54,13.26,24.92,13.07,13.97,9.55,21.54,17.34,22.51,31.35,7.53,6.88,27.25,9.43,4.45,10.65,22.13,13.36,20.17,36.95,4.3,7.26,19.82,11.44,16.56,18.53,3.54,23.68,32.77,6.27,15.74,11.05,21.2,13.77,12.96,6.01,6.66,10.45,29.73,17.11,17.55,21.44,23.79,17.54,23.92,18.13,21.72,19.58,11.52,23.92,22.51,21.54,18.13,32.77,21.72,27.25,31.35,7.53,19.82,18.53,19.58
NA,SWC,65.24,63.38,68.79,67.92,67.25,69.48,67.71,66.16,73.11,66.33,70.64,66.96,,,,,,,73.37,70.66,71.04,71.31,70.45,76.48,61.37,60.8,63.56,61.67,63.42,62.99,58.85,59.49,56.35,55.15,55.42,54.87,66.54,65.27,68.11,67.37,63.6,65.44,68.79,59.49,56.35,68.11,63.38,61.19,63.56,60.14,62.06,68.61,70.66,66.56,67.71,73.11,66.16,60.8,65.27,58.85,61.37,73.37,70.64,59.63,66.33,55.42,65.84,76.48,62.99,64.5,70.45,54.87,67.37,65.24,67.92,67.25,69.48,71.04,71.31,61.67,63.42,55.15,66.54,63.6,65.44,60.48,62.79,64.8,64.24,66.96,60.48,60.14,61.19,62.79,64.5,64.8,66.56,62.06,68.61,59.63,65.84,64.24
NA,RFW,26.6,14.98,12.03,14.07,15.7,5.19,11.88,9.01,8.83,7.79,8.25,13.6,,,,,,,8.63,9.08,8.23,13.78,6.44,8.44,42.1,19.19,39.78,19.71,24.12,31.74,29.01,38.89,19.65,23.7,25.09,29.36,24.39,17.6,13.34,10.56,29.8,21.06,12.03,38.89,19.65,13.34,14.98,37.38,39.78,37.97,25.8,16.95,9.08,40.9,11.88,8.83,9.01,19.19,17.6,29.01,42.1,8.63,8.25,25,7.79,25.09,20.6,8.44,31.74,41.55,6.44,29.36,10.56,26.6,14.07,15.7,5.19,8.23,13.78,19.71,24.12,23.7,24.39,29.8,21.06,26.75,25.37,48.17,22.81,13.6,26.75,37.97,37.38,25.37,41.55,48.17,40.9,25.8,16.95,25,20.6,22.81
NA,RDW,10.17,7.91,6.77,7.38,7.32,2.36,5.36,4.62,4.28,4.36,4.55,5.99,,,,,,,4.1,4.5,4.06,5.31,3.86,3.65,17.62,9.69,15.93,9.65,11.31,14.3,14.67,17.41,9.45,12.26,13.4,14.76,8.57,7.26,5.32,5.1,11.42,7.56,6.77,17.41,9.45,5.32,7.91,15.24,15.93,17.09,10.77,6.22,4.5,13.48,5.36,4.28,4.62,9.69,7.26,14.67,17.62,4.1,4.55,11.34,4.36,13.4,7.94,3.65,14.3,17.05,3.86,14.76,5.1,10.17,7.38,7.32,2.36,4.06,5.31,9.65,11.31,12.26,8.57,11.42,7.56,16.17,12.25,16.44,8.77,5.99,16.17,17.09,15.24,12.25,17.05,16.44,13.48,10.77,6.22,11.34,7.94,8.77
NA,RWC,61.77,47.2,43.72,47.55,53.38,54.53,54.88,48.72,51.53,44.03,44.85,55.96,,,,,,,52.49,50.44,50.67,61.47,40.06,56.75,58.15,49.5,59.95,51.04,53.11,54.95,49.43,55.23,51.91,48.27,46.59,49.73,64.86,58.75,60.12,51.7,61.68,64.1,43.72,55.23,51.91,60.12,47.2,59.23,59.95,54.99,58.26,63.3,50.44,67.04,54.88,51.53,48.72,49.5,58.75,49.43,58.15,52.49,44.85,54.64,44.03,46.59,61.46,56.75,54.95,58.97,40.06,49.73,51.7,61.77,47.55,53.38,54.53,50.67,61.47,51.04,53.11,48.27,64.86,61.68,64.1,39.57,51.71,65.87,61.55,55.96,39.57,54.99,59.23,51.71,58.97,65.87,67.04,58.26,63.3,54.64,61.46,61.55
NA,LFW,99.74,82.89,100.13,98.94,98.49,81.16,95.34,98.62,43.21,95.78,90.55,94.66,,,,,,,92.11,93.42,77.98,98.47,100,95.01,100.19,100.05,92.03,97.21,99,99.76,99.68,94.43,100.01,100.08,99.45,94.22,96.52,94.63,99.99,100.05,96.06,99.55,100.13,94.43,100.01,99.99,82.89,87.65,92.03,92.44,92.48,90.71,93.42,98.99,95.34,43.21,98.62,100.05,94.63,99.68,100.19,92.11,90.55,99.94,95.78,99.45,90.18,95.01,99.76,83.42,100,94.22,100.05,99.74,98.94,98.49,81.16,77.98,98.47,97.21,99,100.08,96.52,96.06,99.55,67.26,87.56,92.02,94.03,94.66,67.26,92.44,87.65,87.56,83.42,92.02,98.99,92.48,90.71,99.94,90.18,94.03
NA,LDW,24.59,20.53,21.23,22.44,19.3,18.13,23.8,25.99,11.53,22.37,24.77,25.21,,,,,,,16.95,17.82,19.46,19.83,20.3,18.49,23.98,22.84,26.95,26.69,25.13,26.52,27.87,24.8,23.42,26.67,31.7,25.85,18.15,20.69,20.96,21.06,21.01,24.55,21.23,24.8,23.42,20.96,20.53,23.46,26.95,28.12,28.44,24.91,17.82,22.24,23.8,11.53,25.99,22.84,20.69,27.87,23.98,16.95,24.77,28.21,22.37,31.7,24.87,18.49,26.52,24.6,20.3,25.85,21.06,24.59,22.44,19.3,18.13,19.46,19.83,26.69,25.13,26.67,18.15,21.01,24.55,23.23,26.52,24.11,19.47,25.21,23.23,28.12,23.46,26.52,24.6,24.11,22.24,28.44,24.91,28.21,24.87,19.47
NA,LWC,75.35,75.23,78.8,77.32,80.4,77.66,75.04,73.65,73.32,76.64,72.64,73.37,,,,,,,81.6,80.92,75.04,79.86,79.7,80.54,76.07,77.17,70.72,72.54,74.62,73.42,72.04,73.74,76.58,73.35,68.12,72.56,81.2,78.14,79.04,78.95,78.13,75.34,78.8,73.74,76.58,79.04,75.23,73.23,70.72,69.58,69.25,72.54,80.92,77.53,75.04,73.32,73.65,77.17,78.14,72.04,76.07,81.6,72.64,71.77,76.64,68.12,72.42,80.54,73.42,70.51,79.7,72.56,78.95,75.35,77.32,80.4,77.66,75.04,79.86,72.54,74.62,73.35,81.2,78.13,75.34,65.46,69.71,73.8,79.29,73.37,65.46,69.58,73.23,69.71,70.51,73.8,77.53,69.25,72.54,71.77,72.42,79.29
NA,Y_kg,0.29,0.18,0.31,0.43,0.49,0.05,0.14,0.45,0.02,0.34,2.44,1.04,,,,,,,0.1,0.02,0.06,0.68,0.12,0.61,1.05,1.14,1.48,0.91,1.12,1.77,1.24,1.75,0.73,1,1.72,0.88,0.36,0.62,0.47,0.22,0.57,0.39,0.31,1.75,0.73,0.47,0.18,0.59,1.48,0.94,0.84,0.55,0.02,0.54,0.14,0.02,0.45,1.14,0.62,1.24,1.05,0.1,2.44,0.92,0.34,1.72,0.7,0.61,1.77,1.31,0.12,0.88,0.22,0.29,0.43,0.49,0.05,0.06,0.68,0.91,1.12,1,0.36,0.57,0.39,0.59,0.9,0.76,0.57,1.04,0.59,0.94,0.59,0.9,1.31,0.76,0.54,0.84,0.55,0.92,0.7,0.57
